id,name,pl_a,ql_a,pl_b,ql_b,pl_c,ql_c,bus_type,v_a,v_b,v_c,v_ln_base,s_base,v_min,v_max,cvr_p,cvr_q,phases,has_gen,has_load,has_cap,latitude,longitude,load_shape
1,150,0.0,0.0,0.0,0.0,0.0,0.0,SWING,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,1500.0,100.0,default
2,150r,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,1500.0,100.0,default
3,149,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,False,False,1500.0,300.0,default
4,1,0.0400002272490316,0.0200004407497588,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,1500.0,700.0,default
5,2,0.0,0.0,0.0199998754005551,0.0099999564546066,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,b,False,True,False,1675.0,700.0,default
6,3,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,c,False,False,False,1250.0,700.0,default
7,7,0.0200001946459075,0.0100003876062575,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,abc,False,True,False,1500.0,1000.0,default
8,4,0.0,0.0,0.0,0.0,0.0400001011193943,0.0199998482418277,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,c,False,True,False,1050.0,700.0,default
9,5,0.0,0.0,0.0,0.0,0.0205227013261893,0.010261246886713,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,c,False,True,False,1250.0,1025.0,default
10,6,0.0,0.0,0.0,0.0,0.0420625968138433,0.0210310857105504,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,c,False,True,False,1150.0,1275.0,default
