time,PV,default,price
0,0,0.6,70.74
1,0,0.6256,70.74
2,0,0.6087,70.74
3,0,0.5833,70.74
4,0,0.58028,70.74
5,0,0.6025,70.74
6,0,0.657,70.74
7,0.150238607,0.7477,70.74
8,0.348362654,0.832,92.94
9,0.542735222,0.88,92.94
10,0.687429118,0.94,92.94
11,0.764192534,0.989,92.94
12,0.809460738,0.985,127.48
13,0.797721058,0.98,127.48
14,0.761140217,0.9898,127.48
15,0.688856076,0.999,127.48
16,0.56292747,1,127.48
17,0.376416836,0.958,127.48
18,0.149510145,0.936,92.94
19,0,0.913,92.94
20,0,0.876,92.94
21,0,0.876,70.74
22,0,0.828,70.74
23,0,0.756,70.74
