id,name,pl_a,ql_a,pl_b,ql_b,pl_c,ql_c,bus_type,v_a,v_b,v_c,v_ln_base,s_base,v_min,v_max,cvr_p,cvr_q,phases,has_gen,has_load,has_cap,latitude,longitude
1,sourcebus,0.0,0.0,0.0,0.0,0.0,0.0,SWING,1.0001,1.0001,1.0001,66395.28095680696,1000000.0,0.95,1.05,0,0,abc,False,False,False,400.0,200.0
2,650,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,abc,False,False,False,350.0,200.0
3,rg60,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,abc,False,False,False,300.0,200.0
4,633,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,abc,False,False,False,250.0,350.0
5,634,0.1600003779846219,0.11000734209998074,0.11999921566467898,0.08999779408463635,0.12000422591154107,0.09000659806635254,PQ,1.0,1.0,1.0,277.1281292110204,1000000.0,0.95,1.05,0,0,abc,False,True,False,250.0,400.0
6,671,0.38535117492598614,0.20734995416772845,0.396041580554273,0.24019604309748696,0.373621141918452,0.21249223827859345,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,abc,False,True,False,100.0,200.0
7,645,0.0,0.0,0.1699990405935807,0.12499723429382753,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,bc,False,True,False,250.0,100.0
8,646,0.0,0.0,0.15740203054596455,0.0005964316391011816,0.07716422877344935,0.13402934832768268,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,bc,False,True,False,250.0,0.0
9,692,0.04277394752259576,0.12171935868225221,0.0,0.0,0.12389841527942652,0.02633237404495172,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,abc,False,True,False,100.0,250.0
10,675,0.48500362628523536,0.19002832083401083,0.06799940580503708,0.05999809640026589,0.2900145532986001,0.21202259734607795,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,abc,False,True,True,100.0,400.0
11,611,0.0,0.0,0.0,0.0,0.1634593494092413,0.07692787702781649,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,c,False,True,True,100.0,0.0
12,652,0.12193244748613966,0.08193158807849621,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,a,False,True,False,0.0,100.0
13,670,0.016999947159161578,0.010000698887202307,0.06599949898507736,0.037998865999473885,0.11700423358880106,0.06800542597145467,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,abc,False,True,False,200.0,200.0
14,632,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,abc,False,False,False,250.0,200.0
15,680,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,abc,False,False,False,0.0,200.0
16,684,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,ac,False,False,False,100.0,100.0
