fb,tb,raa,rab,rac,rbb,rbc,rcc,xaa,xab,xac,xbb,xbc,xcc,type,name,status,s_base,v_ln_base,z_base,phases
1,2,9.999969806938602e-07,0.0,0.0,9.999969806938602e-07,0.0,9.999969806938602e-07,4.999984903469301e-05,0.0,0.0,4.999984903469301e-05,0.0,4.999984903469301e-05,transformer,subxf,,1000000.0,14376.021702821681,206.67,abc
2,3,0.0031606381692553345,0.0004967460243867035,0.0005036025800551604,0.003129901864131224,0.0004884708619538394,0.0031431421190303383,0.0031547273389461463,0.0013663471023370591,0.0011857121855131372,0.003208161227464073,0.00108546453592684,0.003184990787632458,line,l1,,1000000.0,14376.021702821681,206.67,abc
3,4,0.0010596713241883195,0.00016654469422267384,0.00016884350067740845,0.0010493663226641508,0.0001637702696085547,0.0010538054003725746,0.0010576895923210916,0.00045809699361300623,0.0003975352870034354,0.0010756044425412495,0.000363925125417332,0.0010678360586442155,line,l2a,,1000000.0,14376.021702821681,206.67,abc
4,5,0.0010596713241883195,0.00016654469422267384,0.00016884350067740845,0.0010493663226641508,0.0001637702696085547,0.0010538054003725746,0.0010576895923210916,0.00045809699361300623,0.0003975352870034354,0.0010756044425412495,0.000363925125417332,0.0010678360586442155,line,l2b,,1000000.0,14376.021702821681,206.67,abc
5,6,0.039483476044612185,0.006205474560458702,0.006291128354720085,0.03909951049649199,0.006102099178593893,0.039264911045096045,0.03940963648613732,0.017068746941210623,0.014812210751584653,0.04007714587642135,0.013559892245318624,0.0397876949943388,line,l3,,1000000.0,14376.021702821681,206.67,abc
6,7,0.0,0.0,0.0,0.007445026447960517,0.0,0.0,0.0,0.0,0.0,0.003950564619925486,0.0,0.0,line,l4a,,1000000.0,14376.021702821681,206.67,b
7,8,0.0,0.0,0.0,0.007445026447960517,0.0,0.0,0.0,0.0,0.0,0.003950564619925486,0.0,0.0,line,l4b,,1000000.0,14376.021702821681,206.67,b
6,9,0.0459395082740601,0.0072201457032951095,0.007319804942662216,0.04549275965307012,0.00709986717956162,0.04568520521846422,0.045853595042821896,0.019859696254899115,0.017234188742923505,0.04663025039918711,0.015777100812890115,0.046293470750471764,line,l5,,1000000.0,14376.021702821681,206.67,abc
9,10,0.036420842159674845,0.005724131513572363,0.005803141358542604,0.036066659852953986,0.005628774699956453,0.036219230697198436,0.0363527301499492,0.015744767190884017,0.013663264835389754,0.03696846251647554,0.012508085524459284,0.03670146361097402,line,l6,,1000000.0,14376.021702821681,206.67,abc
10,11,2.9999909420815807e-06,0.0,0.0,2.9999909420815807e-06,0.0,2.9999909420815807e-06,0.00014999954710407903,0.0,0.0,0.00014999954710407903,0.0,0.00014999954710407903,transformer,reg1areg1breg1c,,1000000.0,14376.021702821681,206.67,abc
11,12,1.7686664876372965e-05,2.1324802825760876e-06,2.1618052934630088e-06,1.7555618619054532e-05,2.0967403590264674e-06,1.761243586393768e-05,1.2935091934001065e-05,5.903497169400495e-06,5.215275124594765e-06,1.3087215609425657e-05,4.800142497701651e-06,1.302123423815745e-05,line,l7,,1000000.0,14376.021702821681,206.67,abc
12,13,0.0005482866111675618,6.610688875985872e-05,6.701596409735327e-05,0.0005442241771906905,6.49989511298205e-05,0.000545985511782068,0.000400987849954033,0.00018300841225141532,0.0001616735288624377,0.0004057036838921953,0.00014880441742875117,0.0004036582613828809,line,l24,,1000000.0,14376.021702821681,206.67,abc
13,14,0.004386972855276528,0.0,0.0,0.0,0.0,0.0,0.0023278654376542316,0.0,0.0,0.0,0.0,0.0,line,l8,,1000000.0,14376.021702821681,206.67,a
13,15,0.009029042419388398,0.0010886311842550928,0.001103601602312866,0.008962143305027339,0.0010703859532830119,0.008991148508540185,0.006603364432307544,0.0030137353049789527,0.002662397951105628,0.006681023568611798,0.0024504727450766926,0.006647340078579378,line,l9a,,1000000.0,14376.021702821681,206.67,abc
15,16,0.009029042419388398,0.0010886311842550928,0.001103601602312866,0.008962143305027339,0.0010703859532830119,0.008991148508540185,0.006603364432307544,0.0030137353049789527,0.002662397951105628,0.006681023568611798,0.0024504727450766926,0.006647340078579378,line,l9b,,1000000.0,14376.021702821681,206.67,abc
14,17,0.06176395993613006,0.0,0.0,0.0,0.0,0.0,0.03277389497750036,0.0,0.0,0.0,0.0,0.0,line,l10a,,1000000.0,14376.021702821681,206.67,a
17,18,0.06176395993613006,0.0,0.0,0.0,0.0,0.0,0.03277389497750036,0.0,0.0,0.0,0.0,0.0,line,l10b,,1000000.0,14376.021702821681,206.67,a
18,19,0.017624855857163595,0.0,0.0,0.0,0.0,0.0,0.009352301495137176,0.0,0.0,0.0,0.0,0.0,line,l11a,,1000000.0,14376.021702821681,206.67,a
19,20,0.017624855857163595,0.0,0.0,0.0,0.0,0.0,0.009352301495137176,0.0,0.0,0.0,0.0,0.0,line,l11b,,1000000.0,14376.021702821681,206.67,a
16,21,0.0,0.0,0.0,0.0038867040209028887,0.0,0.0,0.0,0.0,0.0,0.0020624070982726084,0.0,0.0,line,l12a,,1000000.0,14376.021702821681,206.67,b
21,22,0.0,0.0,0.0,0.0038867040209028887,0.0,0.0,0.0,0.0,0.0,0.0020624070982726084,0.0,0.0,line,l12b,,1000000.0,14376.021702821681,206.67,b
16,23,0.0007428399248076644,8.956417186819567e-05,9.079582232544637e-05,0.0007373359820002903,8.806309507911163e-05,0.0007397223062853825,0.0005432738612280448,0.00024794688111482073,0.00021904155523298012,0.0005496630555958776,0.00020160598490346932,0.0005468918380026128,line,l13a,,1000000.0,14376.021702821681,206.67,abc
