id,pl_a,ql_a,pl_b,ql_b,pl_c,ql_c,name,bus_type,v_a,v_b,v_c,v_ln_base,s_base,v_min,v_max,cvr_p,cvr_q,phases,has_gen,has_load,has_cap,latitude,longitude
1,0.0,0.0,0.0,0.0,0.0,0.0,sourcebus,SWING,1.05,1.05,1.05,39837.16857408418,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,0.0,-300.0
2,0.0,0.0,0.0,0.0,0.0,0.0,800,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,802,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,0.0,400.0
4,0.0,0.0,0.030000010247228596,0.015000006949403785,0.025000007762301303,0.014000003069477518,mid806,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,True,False,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,806,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,0.0,700.0
6,0.0,0.0,0.0,0.0,0.0,0.0,808,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,0.0,1000.0
7,0.0,0.0,0.016469038012288963,0.008234530893398723,0.0,0.0,mid810,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,b,False,True,False,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,810,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,b,False,False,False,-800.0,1000.0
9,0.0,0.0,0.0,0.0,0.0,0.0,812,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,0.0,1300.0
10,0.0,0.0,0.0,0.0,0.0,0.0,814,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,0.0,1600.0
11,0.0,0.0,0.0,0.0,0.0,0.0,814r,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,0.0,2100.0
12,0.0,0.0,0.0,0.0,0.0,0.0,850,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,0.0,2500.0
13,0.0,0.0,0.0,0.0,0.0,0.0,816,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,0.0,2900.0
