id,name,nc_a,nc_b,nc_c,nd_a,nd_b,nd_c,hmax_a,hmax_b,hmax_c,Pb_max_a,Pb_max_b,Pb_max_c,bmin_a,bmin_b,bmin_c,bmax_a,bmax_b,bmax_c,phases
3,3,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
9,9,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
15,15,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
20,20,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
23,23,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
25,25,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
30,30,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
37,37,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
44,44,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
49,49,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
50,50,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
51,51,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
56,56,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
59,59,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
62,62,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
65,65,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
67,67,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
78,78,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
88,88,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
93,93,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
95,95,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
99,99,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
101,101,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
102,102,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
103,103,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
107,107,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
110,110,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
119,119,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
120,120,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
122,122,0.95,0.95,0.95,0.95,0.95,0.95,0.012,0.012,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.0095,0.0095,0.0095,abc
