id,name,pl_a,ql_a,pl_b,ql_b,pl_c,ql_c,bus_type,v_a,v_b,v_c,v_ln_base,s_base,v_min,v_max,cvr_p,cvr_q,phases,has_gen,has_load,has_cap,latitude,longitude
1,sourcebus,0.0,0.0,0.0,0.0,0.0,0.0,SWING,1.0,1.0,1.0,66.39528095680697,1000000,0.95,1.05,0,0,abc,False,False,False,400.0,200.0
2,650,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2.4017771198288433,1000000,0.95,1.05,0,0,abc,False,False,False,350.0,200.0
3,rg60,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2.4017771198288433,1000000,0.95,1.05,0,0,abc,False,False,False,300.0,200.0
4,633,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2.4017771198288433,1000000,0.95,1.05,0,0,abc,False,False,False,250.0,350.0
5,634,160.0,110.01,120.0,90.0,120.0,90.01,PQ,1.0,1.0,1.0,0.27712812921102037,1000000,0.95,1.05,0,0,abc,False,True,False,250.0,400.0
6,671,385.36,207.35,396.04,240.2,373.62,212.49,PQ,1.0,1.0,1.0,2.4017771198288433,1000000,0.95,1.05,0,0,abc,False,True,False,100.0,200.0
7,645,0.0,0.0,170.0,125.0,0.0,0.0,PQ,1.0,1.0,1.0,2.4017771198288433,1000000,0.95,1.05,0,0,bc,False,False,False,250.0,100.0
8,646,0.0,0.0,157.4,0.6,77.16,134.03,PQ,1.0,1.0,1.0,2.4017771198288433,1000000,0.95,1.05,0,0,bc,False,False,False,250.0,0.0
9,692,42.78,121.72,0.0,0.0,123.9,26.33,PQ,1.0,1.0,1.0,2.4017771198288433,1000000,0.95,1.05,0,0,abc,False,False,False,100.0,250.0
10,675,485.0,190.03,68.0,60.0,290.01,212.02,PQ,1.0,1.0,1.0,2.4017771198288433,1000000,0.95,1.05,0,0,abc,False,True,True,100.0,400.0
11,611,0.0,0.0,0.0,0.0,163.46,76.93,PQ,1.0,1.0,1.0,2.4017771198288433,1000000,0.95,1.05,0,0,c,False,False,True,100.0,0.0
12,652,121.94,81.93,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2.4017771198288433,1000000,0.95,1.05,0,0,a,False,False,False,0.0,100.0
13,670,17.0,10.0,66.0,38.0,117.0,68.01,PQ,1.0,1.0,1.0,2.4017771198288433,1000000,0.95,1.05,0,0,abc,False,True,False,200.0,200.0
14,632,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2.4017771198288433,1000000,0.95,1.05,0,0,abc,False,False,False,250.0,200.0
15,680,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2.4017771198288433,1000000,0.95,1.05,0,0,abc,False,False,False,0.0,200.0
16,684,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2.4017771198288433,1000000,0.95,1.05,0,0,ac,False,False,False,100.0,100.0
