id,pl_a,ql_a,pl_b,ql_b,pl_c,ql_c,name,bus_type,v_a,v_b,v_c,v_ln_base,s_base,v_min,v_max,cvr_p,cvr_q,phases,has_gen,has_load,has_cap,latitude,longitude
1,0.0,0.0,0.0,0.0,0.0,0.0,150,SWING,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,abc,False,False,False,1500.0,100.0
2,0.0,0.0,0.0,0.0,0.0,0.0,150r,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,abc,False,False,False,1500.0,100.0
3,0.0,0.0,0.0,0.0,0.0,0.0,149,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,abc,False,False,False,1500.0,300.0
4,0.040000227249034175,0.0200004407497614,0.0,0.0,0.0,0.0,1,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,abc,False,True,False,1500.0,700.0
5,0.0,0.0,0.01999987540055385,0.009999956454606959,0.0,0.0,2,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,b,False,True,False,1675.0,700.0
6,0.0,0.0,0.0,0.0,0.0,0.0,3,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,c,False,False,False,1250.0,700.0
7,0.020000194645909665,0.010000387606259858,0.0,0.0,0.0,0.0,7,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,abc,False,True,False,1500.0,1000.0
8,0.0,0.0,0.0,0.0,0.04000010111939458,0.01999984824182496,4,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,c,False,True,False,1050.0,700.0
9,0.0,0.0,0.0,0.0,0.020522701329182932,0.010261246888208292,5,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,c,False,True,False,1250.0,1025.0
10,0.0,0.0,0.0,0.0,0.042062596826114046,0.021031085716682635,6,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,c,False,True,False,1150.0,1275.0
11,0.0,0.0,0.0,0.0,0.0,0.0,8,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,abc,False,False,False,1500.0,1200.0
12,0.0,0.0,0.01999972146868966,0.009999900667073668,0.0,0.0,12,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,b,False,True,False,1275.0,1200.0
13,0.04000050183386526,0.020001008300050388,0.0,0.0,0.0,0.0,9,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,a,False,True,False,1725.0,1200.0
14,0.0,0.0,0.0,0.0,0.0,0.0,13,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,abc,False,False,False,1500.0,1500.0
15,0.0,0.0,0.0,0.0,0.0,0.0,9r,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,a,False,False,False,1725.0,1200.0
16,0.0,0.0,0.0,0.0,0.0,0.0,14,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,a,False,False,False,2150.0,1200.0
17,0.0,0.0,0.0,0.0,0.041038147921516034,0.02051845043839909,34,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,c,False,True,False,1350.0,1500.0
18,0.0,0.0,0.0,0.0,0.0,0.0,18,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,abc,False,False,False,2325.0,1500.0
19,0.040489655624032776,0.020245595776617473,0.0,0.0,0.0,0.0,11,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,a,False,True,False,2150.0,950.0
20,0.020128834886781726,0.010064799611110724,0.0,0.0,0.0,0.0,10,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,a,False,True,False,2150.0,1450.0
21,0.0,0.0,0.0,0.0,0.0,0.0,15,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,c,False,False,False,1250.0,1500.0
22,0.0,0.0,0.0,0.0,0.04000031049958462,0.019999546950642835,16,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,c,False,True,False,875.0,1500.0
23,0.0,0.0,0.0,0.0,0.02000015541214034,0.009999773660065705,17,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,c,False,True,False,1250.0,1850.0
24,0.04000072059642664,0.02000145978702747,0.0,0.0,0.0,0.0,19,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,a,False,True,False,2325.0,1250.0
25,0.0,0.0,0.0,0.0,0.0,0.0,21,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,abc,False,False,False,2625.0,1500.0
26,0.03962786757907153,0.019815025581662885,0.0,0.0,0.0,0.0,20,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,a,False,True,False,2325.0,925.0
27,0.0,0.0,0.04202385281244853,0.021012054044395736,0.0,0.0,22,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,b,False,True,False,2625.0,975.0
28,0.0,0.0,0.0,0.0,0.0,0.0,23,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,abc,False,False,False,2875.0,1500.0
29,0.0,0.0,0.0,0.0,0.04000033150236399,0.019999488481996903,24,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,c,False,True,False,2875.0,950.0
30,0.0,0.0,0.0,0.0,0.0,0.0,25,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,abc,False,False,False,3150.0,1500.0
31,0.0,0.0,0.0,0.0,0.0,0.0,25r,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,ac,False,False,False,3150.0,1500.0
32,0.0,0.0,0.0,0.0,0.0,0.0,26,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,ac,False,False,False,3150.0,1150.0
33,0.03963512065046296,0.019818657795700714,0.0,0.0,0.0,0.0,28,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,abc,False,True,False,3350.0,1500.0
34,0.0,0.0,0.0,0.0,0.0,0.0,27,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,ac,False,False,False,3150.0,875.0
35,0.0,0.0,0.0,0.0,0.020000166525998283,0.00999974179490401,31,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,c,False,True,False,3375.0,1150.0
36,0.040068096380444215,0.02003516587544572,0.0,0.0,0.0,0.0,33,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,a,False,True,False,3650.0,875.0
37,0.0392600594384699,0.019631116410285414,0.0,0.0,0.0,0.0,29,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0,0,abc,False,True,False,3650.0,1500.0
