fb,tb,raa,rab,rac,rbb,rbc,rcc,xaa,xab,xac,xbb,xbc,xcc,type,name,status,s_base,v_ln_base,z_base,phases
2,3,2.2684310018903586e-10,0.0,0.0,2.2684310018903586e-10,0.0,2.2684310018903586e-10,2.2684310018903586e-10,0.0,0.0,2.2684310018903586e-10,0.0,2.2684310018903586e-10,switch,hvmv115b1_sw,CLOSED,1000000,66395.28095680696,4408.333333333334,abc
3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,transformer,hvmv115_69sub,,1000000,39837.16857408418,1587.0,abc
4,5,6.30119722747322e-10,0.0,0.0,6.30119722747322e-10,0.0,6.30119722747322e-10,6.30119722747322e-10,0.0,0.0,6.30119722747322e-10,0.0,6.30119722747322e-10,switch,hvmv69s1b4_sw,CLOSED,1000000,39837.16857408418,1587.0,abc
5,6,6.30119722747322e-10,0.0,0.0,6.30119722747322e-10,0.0,6.30119722747322e-10,6.30119722747322e-10,0.0,0.0,6.30119722747322e-10,0.0,6.30119722747322e-10,switch,hvmv69s1b1_sw,CLOSED,1000000,39837.16857408418,1587.0,abc
2742,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,transformer,feeder_reg1a_feeder_reg1b_feeder_reg1c,,1000000,7199.557856794634,51.833633333333346,abc
7,8,1.9292492840877443e-08,0.0,0.0,1.9292492840877443e-08,0.0,1.9292492840877443e-08,1.9292492840877444e-07,0.0,0.0,1.9292492840877444e-07,0.0,1.9292492840877444e-07,line,hvmv_sub_connector,,1000000,7199.557856794634,51.833633333333346,abc
8,9,8.030424914424139e-05,2.092168264675897e-05,2.143460594858635e-05,7.954271793242857e-05,2.1031753260017013e-05,8.054380992908905e-05,0.00023808963898419618,0.00010306772623864033,9.244035500345856e-05,0.00024462075841289593,0.00010908604905611707,0.00023605971771558103,line,ln5710794-3,,1000000,7199.557856794634,51.833633333333346,abc
9,10,1.9292492840877443e-08,0.0,0.0,1.9292492840877443e-08,0.0,1.9292492840877443e-08,1.9292492840877443e-08,0.0,0.0,1.9292492840877443e-08,0.0,1.9292492840877443e-08,switch,hvmv69s1b2_sw,CLOSED,1000000,7199.557856794634,51.833633333333346,abc
5,11,6.30119722747322e-10,0.0,0.0,6.30119722747322e-10,0.0,6.30119722747322e-10,6.30119722747322e-10,0.0,0.0,6.30119722747322e-10,0.0,6.30119722747322e-10,switch,hvmv69s1b3_sw,CLOSED,1000000,39837.16857408418,1587.0,abc
11,12,0.000165677204012912,5.873217040090938e-05,6.233385757789143e-05,0.00017011986474021212,6.498741987666907e-05,0.00017854958573691875,0.0004738071424360896,0.00020289768654008225,0.00017268796537251135,0.0004627036150321837,0.000187680789743361,0.0004423670291569937,line,hvmv69s1s2-1,,1000000,39837.16857408418,1587.0,abc
12,13,0.000124257903009684,4.4049127800682036e-05,4.6750393183418574e-05,0.0001275898985551591,4.87405649075018e-05,0.00013391218930268906,0.00035535535682706715,0.0001521732649050617,0.00012951597402938349,0.00034702771127413776,0.00014076059230752077,0.00033177527186774525,line,hvmv69s1s2-2,,1000000,39837.16857408418,1587.0,abc
13,14,0.000124257903009684,4.4049127800682036e-05,4.6750393183418574e-05,0.0001275898985551591,4.87405649075018e-05,0.00013391218930268906,0.00035535535682706715,0.0001521732649050617,0.00012951597402938349,0.00034702771127413776,0.00014076059230752077,0.00033177527186774525,line,hvmv69s1s2-3,,1000000,39837.16857408418,1587.0,abc
14,15,0.000331354408025824,0.00011746434080181876,0.00012466771515578286,0.00034023972948042425,0.00012997483975333814,0.0003570991714738375,0.0009476142848721792,0.0004057953730801645,0.0003453759307450227,0.0009254072300643673,0.000375361579486722,0.0008847340583139874,line,hvmv69s1s2-4,,1000000,39837.16857408418,1587.0,abc
15,16,0.000331354408025824,0.00011746434080181876,0.00012466771515578286,0.00034023972948042425,0.00012997483975333814,0.0003570991714738375,0.0009476142848721792,0.0004057953730801645,0.0003453759307450227,0.0009254072300643673,0.000375361579486722,0.0008847340583139874,line,hvmv69s1s2-5,,1000000,39837.16857408418,1587.0,abc
16,17,0.000331354408025824,0.00011746434080181876,0.00012466771515578286,0.00034023972948042425,0.00012997483975333814,0.0003570991714738375,0.0009476142848721792,0.0004057953730801645,0.0003453759307450227,0.0009254072300643673,0.000375361579486722,0.0008847340583139874,line,hvmv69s1s2-6,,1000000,39837.16857408418,1587.0,abc
