fb,tb,raa,rab,rac,rbb,rbc,rcc,xaa,xab,xac,xbb,xbc,xcc,type,name,status,s_base,v_ln_base,z_base,phases
1,2,0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.001,switch,hvmv115b1_sw,CLOSED,1000000,66395.28095680696,4408.333333333335,abc
3,4,0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.001,switch,hvmv69s1b4_sw,CLOSED,1000000,39837.16857408418,1587.0000000000002,abc
4,5,0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.001,switch,hvmv69s1b1_sw,CLOSED,1000000,39837.16857408418,1587.0000000000002,abc
6,7,0.001,0.0,0.0,0.001,0.0,0.001,0.01,0.0,0.0,0.01,0.0,0.01,overhead_line,hvmv_sub_connector,,1000000,7199.557856794634,51.833633333333346,abc
7,8,0.2141620120958426,0.055795673327478965,0.057163579603184064,0.21213109768802996,0.056089218740818465,0.2148008926065125,0.6349571372299505,0.2748695351570142,0.2465275827538739,0.6523748665904011,0.2909196961107396,0.6295435753335943,overhead_line,ln5710794-3,,1000000,7199.557856794634,51.833633333333346,abc
8,9,0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.001,switch,hvmv69s1b2_sw,CLOSED,1000000,7199.557856794634,51.833633333333346,abc
4,10,0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.001,switch,hvmv69s1b3_sw,CLOSED,1000000,39837.16857408418,1587.0000000000002,abc
10,11,0.26292972276849136,0.09320795442624319,0.09892383197611371,0.26998022534271665,0.10313503534427382,0.2833581925644901,0.7519319350460741,0.32199862853911054,0.2740558010461755,0.7343106370560755,0.2978494133227139,0.702036475272149,overhead_line,hvmv69s1s2-1,,1000000,39837.16857408418,1587.0000000000002,abc
11,12,0.26292972276849136,0.09320795442624319,0.09892383197611371,0.26998022534271665,0.10313503534427382,0.2833581925644901,0.7519319350460741,0.32199862853911054,0.2740558010461755,0.7343106370560756,0.2978494133227139,0.702036475272149,overhead_line,hvmv69s1s2-2,,1000000,39837.16857408418,1587.0000000000002,abc
12,13,0.26292972276849136,0.09320795442624319,0.09892383197611371,0.26998022534271665,0.10313503534427382,0.2833581925644901,0.7519319350460741,0.32199862853911054,0.2740558010461755,0.7343106370560756,0.2978494133227139,0.702036475272149,overhead_line,hvmv69s1s2-3,,1000000,39837.16857408418,1587.0000000000002,abc
13,14,0.26292972276849136,0.09320795442624319,0.09892383197611371,0.26998022534271665,0.10313503534427382,0.2833581925644901,0.7519319350460741,0.32199862853911054,0.2740558010461755,0.7343106370560755,0.2978494133227139,0.702036475272149,overhead_line,hvmv69s1s2-4,,1000000,39837.16857408418,1587.0000000000002,abc
14,15,0.26292972276849136,0.09320795442624319,0.09892383197611371,0.26998022534271665,0.10313503534427382,0.2833581925644901,0.7519319350460741,0.32199862853911054,0.2740558010461755,0.7343106370560755,0.2978494133227139,0.702036475272149,overhead_line,hvmv69s1s2-5,,1000000,39837.16857408418,1587.0000000000002,abc
15,16,0.26292972276849136,0.09320795442624319,0.09892383197611371,0.26998022534271665,0.10313503534427382,0.2833581925644901,0.7519319350460741,0.32199862853911054,0.2740558010461755,0.7343106370560755,0.2978494133227139,0.702036475272149,overhead_line,hvmv69s1s2-6,,1000000,39837.16857408418,1587.0000000000002,abc
16,17,0.26292972276849136,0.09320795442624319,0.09892383197611371,0.26998022534271665,0.10313503534427382,0.2833581925644901,0.7519319350460741,0.32199862853911054,0.2740558010461755,0.7343106370560755,0.2978494133227139,0.702036475272149,overhead_line,hvmv69s1s2-7,,1000000,39837.16857408418,1587.0000000000002,abc
17,18,0.26292972276849136,0.09320795442624319,0.09892383197611371,0.26998022534271665,0.10313503534427382,0.2833581925644901,0.7519319350460741,0.32199862853911054,0.2740558010461755,0.7343106370560755,0.2978494133227139,0.702036475272149,overhead_line,hvmv69s1s2-8,,1000000,39837.16857408418,1587.0000000000002,abc
18,19,0.26292972276849136,0.09320795442624319,0.09892383197611371,0.26998022534271665,0.10313503534427382,0.2833581925644901,0.7519319350460741,0.32199862853911054,0.2740558010461755,0.7343106370560755,0.2978494133227139,0.702036475272149,overhead_line,hvmv69s1s2-9,,1000000,39837.16857408418,1587.0000000000002,abc
19,20,0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.001,switch,hvmv69s1s2-10,CLOSED,1000000,39837.16857408418,1587.0000000000002,abc
20,21,0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.001,switch,hvmv69s2b1_sw,CLOSED,1000000,39837.16857408418,1587.0000000000002,abc
22,23,0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.001,switch,hvmv69s2b2_sw,CLOSED,1000000,7199.557856794634,51.833633333333346,abc
20,24,0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.001,switch,hvmv69s2b3_sw,CLOSED,1000000,39837.16857408418,1587.0000000000002,abc
24,25,0.2629297227684913,0.09320795442624319,0.09892383197611371,0.26998022534271665,0.10313503534427382,0.2833581925644901,0.7519319350460741,0.32199862853911054,0.27405580104617555,0.7343106370560755,0.2978494133227139,0.702036475272149,overhead_line,hvmv69s2s3-1,,1000000,39837.16857408418,1587.0000000000002,abc
25,26,0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.001,switch,hvmv69s3b1_sw,CLOSED,1000000,39837.16857408418,1587.0000000000002,abc
27,28,0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.001,switch,hvmv69s3b2_sw,CLOSED,1000000,7199.557856794634,51.833633333333346,abc
9,29,0.2141620120958426,0.055795673327478965,0.057163579603184064,0.21213109768802993,0.056089218740818465,0.21480089260651247,0.6349571372299505,0.2748695351570142,0.24652758275387385,0.652374866590401,0.29091969611073953,0.6295435753335943,overhead_line,ln5815900-1,,1000000,7199.557856794634,51.833633333333346,abc
29,30,0.21416201209584257,0.055795673327478965,0.057163579603184064,0.21213109768802993,0.056089218740818465,0.2148008926065125,0.6349571372299505,0.2748695351570141,0.24652758275387388,0.652374866590401,0.2909196961107396,0.6295435753335943,overhead_line,ln5742828-1,,1000000,7199.557856794634,51.833633333333346,abc
30,31,0.21416201209584257,0.05579567332747896,0.05716357960318406,0.2121310976880299,0.056089218740818465,0.21480089260651247,0.6349571372299505,0.2748695351570141,0.24652758275387388,0.652374866590401,0.2909196961107396,0.6295435753335943,overhead_line,ln5742828-2,,1000000,7199.557856794634,51.833633333333346,abc
31,32,0.21416201209584257,0.05579567332747896,0.05716357960318407,0.21213109768802993,0.056089218740818465,0.21480089260651247,0.6349571372299505,0.2748695351570142,0.2465275827538739,0.6523748665904011,0.2909196961107396,0.6295435753335944,overhead_line,ln5473414-1,,1000000,7199.557856794634,51.833633333333346,abc
32,33,0.21416201209584257,0.055795673327478965,0.05716357960318407,0.21213109768802993,0.05608921874081847,0.2148008926065125,0.6349571372299505,0.2748695351570142,0.24652758275387388,0.6523748665904011,0.2909196961107396,0.6295435753335944,overhead_line,ln5714974-1,,1000000,7199.557856794634,51.833633333333346,abc
33,34,0.21416201209584257,0.05579567332747896,0.05716357960318407,0.21213109768802993,0.056089218740818465,0.2148008926065125,0.6349571372299505,0.2748695351570142,0.24652758275387388,0.6523748665904011,0.2909196961107396,0.6295435753335944,overhead_line,ln5896798-1,,1000000,7199.557856794634,51.833633333333346,abc
