id,name,pl_a,ql_a,pl_b,ql_b,pl_c,ql_c,bus_type,v_a,v_b,v_c,v_ln_base,s_base,v_min,v_max,cvr_p,cvr_q,phases,has_gen,has_load,has_cap,latitude,longitude
1,sourcebus,0.0,0.0,0.0,0.0,0.0,0.0,SWING,1.0,1.0,1.0,66395.28095680696,1000000,0.95,1.05,0,0,abc,False,False,False,46.6965308,-119.0696656
2,hvmv115_hsb1,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,66395.28095680696,1000000,0.95,1.05,0,0,abc,False,False,False,46.6960952,-119.0701878
3,hvmv115_hsb2,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,66395.28095680696,1000000,0.95,1.05,0,0,abc,False,False,False,46.6956596,-119.07071
4,regxfmr_hvmv69sub1_lsb1,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,39837.16857408418,1000000,0.95,1.05,0,0,abc,False,False,False,46.695224,-119.0712322
5,hvmv69sub1_lsb2,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,39837.16857408418,1000000,0.95,1.05,0,0,abc,False,False,False,46.69478842,-119.0717544
6,hvmv69sub1_hsb,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,39837.16857408418,1000000,0.95,1.05,0,0,abc,False,False,False,46.69391722,-119.0727987
7,hvmv11sub1_lsb,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,7199.557856794634,1000000,0.95,1.05,0,0,abc,False,False,False,46.69304604,-119.0738431
8,hvmv_sub1_48332,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,7199.557856794634,1000000,0.95,1.05,0,0,abc,False,False,False,46.69261044,-119.0743653
9,d5710794-3_int,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,7199.557856794634,1000000,0.95,1.05,0,0,abc,False,False,False,46.69217484,-119.0748875
10,e192860,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,7199.557856794634,1000000,0.95,1.05,0,0,abc,False,False,False,46.69173926,-119.0754097
