fb,tb,raa,rab,rac,rbb,rbc,rcc,xaa,xab,xac,xbb,xbc,xcc,type,name,status,s_base,v_ln_base,z_base,phases
1,2,1.733542899408284e-05,0.0,0.0,1.733542899408284e-05,0.0,1.733542899408284e-05,1.733542899408284e-05,0.0,0.0,1.733542899408284e-05,0.0,1.733542899408284e-05,line,l1,,1000000.0,2401.7771198288433,5.768533333333334,abc
2,3,0.006015393860946745,0.0020455806213017748,0.002010909763313609,0.0061194064349112415,0.0020802514792899406,0.006067400147928994,0.014163045488165679,0.006587463017751478,0.005061945266272189,0.013764330621301774,0.00556467270710059,0.01398969119822485,line,l2,,1000000.0,2401.7771198288433,5.768533333333334,abc
3,4,0.0,0.0,0.0,0.0076449241863905315,0.0,0.0,0.0,0.0,0.0,0.007748936760355028,0.0,0.0,line,l3,,1000000.0,2401.7771198288433,5.768533333333334,b
3,5,0.0,0.0,0.0,0.0,0.0,0.010903984837278105,0.0,0.0,0.0,0.0,0.0,0.01106000369822485,line,l4,,1000000.0,2401.7771198288433,5.768533333333334,c
3,6,0.004507211538461538,0.0015428531804733726,0.0015081823224852068,0.004593888683431952,0.0015601886094674553,0.0045418823964497035,0.01062661797337278,0.004940597263313609,0.0037964589497041417,0.010331915680473371,0.004177838387573964,0.010487934541420116,line,l5,,1000000.0,2401.7771198288433,5.768533333333334,abc
5,7,0.0,0.0,0.0,0.0,0.0,0.008719720784023667,0.0,0.0,0.0,0.0,0.0,0.008841068786982247,line,l6,,1000000.0,2401.7771198288433,5.768533333333334,c
5,8,0.0,0.0,0.0,0.0,0.0,0.01418038091715976,0.0,0.0,0.0,0.0,0.0,0.014371070636094673,line,l7,,1000000.0,2401.7771198288433,5.768533333333334,c
8,9,0.0,0.0,0.0,0.0,0.0,0.010903984837278105,0.0,0.0,0.0,0.0,0.0,0.01106000369822485,line,l8,,1000000.0,2401.7771198288433,5.768533333333334,c
6,10,0.002999029215976331,0.0010227903106508874,0.0010054548816568044,0.0030683709319526626,0.0010401257396449703,0.003033700073964497,0.0070728550295857985,0.003293731508875739,0.0025309726331360946,0.006882165310650887,0.0027736686390532543,0.006986177884615384,line,l9,,1000000.0,2401.7771198288433,5.768533333333334,abc
10,11,0.0,0.0,0.0,0.009811852810650886,0.0,0.0,0.0,0.0,0.0,0.00995053624260355,0.0,0.0,line,l10,,1000000.0,2401.7771198288433,5.768533333333334,b
10,12,0.009811852810650886,0.0,0.0,0.0,0.0,0.0,0.00995053624260355,0.0,0.0,0.0,0.0,0.0,line,l11,,1000000.0,2401.7771198288433,5.768533333333334,a
10,13,0.004507211538461538,0.0015428531804733726,0.0015081823224852068,0.004593888683431952,0.0015601886094674553,0.0045418823964497035,0.01062661797337278,0.004940597263313609,0.0037964589497041417,0.010331915680473371,0.004177838387573964,0.010487934541420116,line,l12,,1000000.0,2401.7771198288433,5.768533333333334,abc
12,14,1.733542899408284e-05,0.0,0.0,0.0,0.0,0.0,1.733542899408284e-05,0.0,0.0,0.0,0.0,0.0,line,l13,,1000000.0,2401.7771198288433,5.768533333333334,a
