fb,tb,raa,rab,rac,rbb,rbc,rcc,xaa,xab,xac,xbb,xbc,xcc,type,name,status,s_base,v_ln_base,z_base,phases
1,2,0.000878698224852,0.0,0.0,0.000878698224852,0.0,0.000878698224852,0.0015976331360946,0.0,0.0,0.0015976331360946,0.0,0.0015976331360946,transformer,sub,,1000000.0,2401.7771198288438,5.768533333333334,abc
2,3,0.0026360946745562,0.0,0.0,0.0026360946745562,0.0,0.0026360946745562,0.004792899408284,0.0,0.0,0.004792899408284,0.0,0.004792899408284,transformer,reg1reg2reg3,,1000000.0,2401.7771198288438,5.768533333333334,abc
14,4,0.0123547763834722,0.0025937478987358,0.0025609156468531,0.0122710541411713,0.0025198753319997,0.0122070312499999,0.0193940111871301,0.0069538709487627,0.0082359703847834,0.0196714437155392,0.0063185668748318,0.0198832117401828,line,632633,,1000000.0,2401.7771198288438,5.768533333333334,abc
4,5,0.066,0.0,0.0,0.066,0.0,0.066,0.12,0.0,0.0,0.12,0.0,0.12,transformer,xfm1,,1000000.0,277.1281292110204,0.0768,abc
13,6,0.01516470824473,0.0068274011145104,0.0069149318980298,0.0147708197188928,0.0067179876351112,0.0149415047467556,0.0445487922721809,0.0219570970458327,0.0185390199494015,0.0458573774857954,0.0168452992883018,0.0452884273929195,line,670671,,1000000.0,2401.7771198288438,5.768533333333334,abc
14,7,0.0,0.0,0.0,0.0218235978264523,0.0033915716194862,0.0217316675211807,0.0,0.0,0.0,0.0221141632556145,0.0075366434196812,0.0222750412898399,line,632645,,1000000.0,2401.7771198288438,5.768533333333334,cb
7,8,0.0,0.0,0.0,0.0130941586958714,0.0020349429716917,0.0130390005127084,0.0,0.0,0.0,0.0132684979533687,0.0045219860518087,0.0133650247739039,line,645646,,1000000.0,2401.7771198288438,5.768533333333334,cb
6,9,1.733542899408284e-08,0.0,0.0,1.733542899408284e-08,0.0,1.733542899408284e-08,0.0,0.0,0.0,0.0,0.0,0.0,switch,671692,CLOSED,1000000.0,2401.7771198288438,5.768533333333334,abc
9,10,0.0129969916464244,0.0052281421253025,0.0046531508980802,0.012831648425943,0.0052281421253025,0.0129969916464244,0.0071960416386498,0.0004544607473355,-0.0003023916062903,0.0065122279125621,0.0004544607473355,0.0071960416386498,line,692675,,1000000.0,2401.7771198288438,5.768533333333334,abc
16,11,0.0,0.0,0.0,0.0,0.0,0.0130921887607584,0.0,0.0,0.0,0.0,0.0,0.0132724378235946,line,684611,,1000000.0,2401.7771198288438,5.768533333333334,c
16,12,0.0352618385220548,0.0,0.0,0.0,0.0,0.0,0.0134585966917697,0.0,0.0,0.0,0.0,0.0,line,684652,,1000000.0,2401.7771198288438,5.768533333333334,a
14,13,0.0075880423100036,0.003416261472902,0.0034600596969136,0.0073909503019516,0.0033615136928876,0.0074763568387742,0.0222911061106861,0.0109867844933011,0.0092764638456495,0.022945889559659,0.0084289682110257,0.0226612011035839,line,632670,,1000000.0,2401.7771198288438,5.768533333333334,abc
3,14,0.0227527505547337,0.0102436625874125,0.0103749915949435,0.0221617700208445,0.0100795013279989,0.0224178615855298,0.0668398983828671,0.0329438815391339,0.027815483795051,0.0688032670454545,0.0252742674993275,0.0679496284965034,line,650632,,1000000.0,2401.7771198288438,5.768533333333334,abc
6,15,0.0113763752773668,0.0051218312937062,0.0051874957974717,0.0110808850104222,0.0050397506639994,0.0112089307927649,0.0334199491914335,0.0164719407695669,0.0139077418975255,0.0344016335227272,0.0126371337496637,0.0339748142482517,line,671680,,1000000.0,2401.7771198288438,5.768533333333334,abc
6,16,0.0130390005127084,0.0,0.0020349429716917,0.0,0.0,0.0130941586958714,0.0133650247739039,0.0,0.0045219860518087,0.0,0.0,0.0132684979533687,line,671684,,1000000.0,2401.7771198288438,5.768533333333334,ac
